src,tgt,src_lang,tgt_lang,domain
ram management is good but camera is not good,RAM ನಿರ್ವಹಣೆ ಚೆನ್ನಾಗಿದೆ ಆದರೆ ಕ್ಯಾಮೆರಾ ಚೆನ್ನಾಗಿಲ್ಲ.,English,Kannada,E
"super phone , battery is amazing","ಉತ್ತಮ  ಫೋನ್, ಬ್ಯಾಟರಿ ಅದ್ಭುತವಾಗಿದೆ.",English,Kannada,E
best budget stock android mobile,ಅತ್ಯುತ್ತಮ ಬಜೆಟ್ ಸ್ಟಾಕ್ ಆಂಡ್ರಾಯ್ಡ್ ಮೊಬೈಲ್‌ಗಳು,English,Kannada,E
"superb phone , should buy for 15k","ಅದ್ಭುತ ಫೋನ್, 15 ಸಾವಿರಕ್ಕೆ ಖರೀದಿಸಬೇಕು.",English,Kannada,E
great camera and display,ಉತ್ತಮ ಕ್ಯಾಮೆರಾ ಮತ್ತು ಪ್ರದರ್ಶನ,English,Kannada,E
excellent mobile brilliant performance,ಅತ್ಯುತ್ತಮ ಮೊಬೈಲ್ ಅದ್ಭುತ ಕಾರ್ಯಕ್ಷಮತೆ,English,Kannada,E
mobile beast ️ 🧡,ಮೊಬೈಲ್ ಬೀಸ್ಟ್ ️ 🧡,English,Kannada,E
no.1 mobile at this price range &quot; unbeatable &quot;,"ಈ ಬೆಲೆ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ನಂ.1 ಮೊಬೈಲ್ ""ಅಜೇಯ""",English,Kannada,E
"eis also working , it is in hidden camera settings","eis ಕೂಡ ಕೆಲಸ ಮಾಡುತ್ತಿದೆ, ಅದು ಗುಪ್ತ ಕ್ಯಾಮೆರಾ ಸೆಟ್ಟಿಂಗ್‌ಗಳಲ್ಲಿದೆ.",English,Kannada,E
"hai guys from asus 6gb.everything is ok but in camera i am disappointed by asus . , may be they can solve the issues new updates.i am waiting for that . , other things no words to say everything awesome .","ಹಾಯ್ ಹುಡುಗರೇ, ಆಸಸ್ 6gb. ಎಲ್ಲವೂ ಸರಿಯಾಗಿದೆ ಆದರೆ ಕ್ಯಾಮೆರಾದಲ್ಲಿ ನನಗೆ ಆಸಸ್ ನಿಂದ ನಿರಾಶೆಯಾಗಿದೆ., ಬಹುಶಃ ಅವರು ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸಬಹುದು ಹೊಸ ನವೀಕರಣಗಳು. ನಾನು ಅದಕ್ಕಾಗಿ ಕಾಯುತ್ತಿದ್ದೇನೆ., ಇತರ ವಿಷಯಗಳನ್ನು ಹೇಳಲು ಪದಗಳಿಲ್ಲ ಎಲ್ಲವೂ ಅದ್ಭುತವಾಗಿದೆ.",English,Kannada,E
no one can beat this phone in its range,ಈ ಬೆಲೆ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಈ ಫೋನ್‌ಗೆ ಯಾವುದೇ ಪ್ರತಿಸ್ಪರ್ಧಿ ಇಲ್ಲ.,English,Kannada,E
good phone in this price,ಈ ಬೆಲೆಗೆ ಒಳ್ಳೆಯ ಫೋನ್,English,Kannada,E
awesome phone value for money good,ಹಣಕ್ಕೆ ತಕ್ಕ ಮೌಲ್ಯದ ಅದ್ಭುತ ಫೋನ್,English,Kannada,E
only camera is a lil weak rest everything else is very good,"ಕ್ಯಾಮೆರಾ ಮಾತ್ರ ಸ್ವಲ್ಪ ದುರ್ಬಲವಾಗಿದೆ, ಉಳಿದೆಲ್ಲವೂ ಅತ್ಯುತ್ತಮವಾಗಿದೆ.",English,Kannada,E
if asus updates camera software then i will rate this device 5 star,ಆಸಸ್ ಕ್ಯಾಮೆರಾ ಸಾಫ್ಟ್‌ವೇರ್ ಅನ್ನು ನವೀಕರಿಸಿದರೆ ನಾನು ಈ ಸಾಧನಕ್ಕೆ 5 ನಕ್ಷತ್ರ ರೇಟಿಂಗ್  ನೀಡುತ್ತೇನೆ .,English,Kannada,E
camera is little bit better and fingerprint sensor is 2x faster than 4gb version. can run pubg at high settings and high fps .,ಕ್ಯಾಮೆರಾ ಸ್ವಲ್ಪ ಉತ್ತಮವಾಗಿದೆ ಮತ್ತು ಫಿಂಗರ್‌ಪ್ರಿಂಟ್ ಸೆನ್ಸರ್ 4gb ಆವೃತ್ತಿಗಿಂತ 2 ಪಟ್ಟು ವೇಗವಾಗಿದೆ. ಹೆಚ್ಚಿನ ಸೆಟ್ಟಿಂಗ್‌ಗಳು ಮತ್ತು ಹೆಚ್ಚಿನ fps ನಲ್ಲಿ pubg ಅನ್ನು ರನ್ ಮಾಡಬಹುದು.,English,Kannada,E
headphone jack is at the bottom n usb port is upside down which is wierd !,"ಹೆಡ್‌ಫೋನ್ ಜ್ಯಾಕ್ ಕೆಳಭಾಗದಲ್ಲಿದೆ ಮತ್ತು ಯುಎಸ್‌ಬಿ ಪೋರ್ಟ್ ತಲೆಕೆಳಗಾಗಿದೆ, ಇದು ಸ್ವಲ್ಪ ವಿಚಿತ್ರವಾಗಿದೆ.",English,Kannada,E
update 1 : free tpu back cover got yellowish after 3 days of use . ( as all transparent tpu covers ),ನವೀಕರಣ 1: ಉಚಿತ ಟಿಪಿಯು ಹಿಂಬದಿಯ ಕವರ್ 3 ದಿನಗಳ ಬಳಕೆಯ ನಂತರ ಹಳದಿ ಬಣ್ಣಕ್ಕೆ ತಿರುಗಿತು. (ಎಲ್ಲಾ ಪಾರದರ್ಶಕ ಟಿಪಿಯು ಕವರ್‌ಗಳಂತೆ),English,Kannada,E
perfect fit. and if you want to remove bubble from the side use oil method .,ಸಂಪೂರ್ಣವಾಗಿ ಹೊಂದಿಕೊಳ್ಳುತ್ತದೆ! ಮತ್ತು ಪಕ್ಕದಲ್ಲಿ ಬಬಲ್ ತೆಗೆದುಹಾಕಲು ಆಯಿಲ್ ವಿಧಾನ ಬಳಸಿ.,English,Kannada,E
best phone in this range,ಈ ಶ್ರೇಣಿಯಲ್ಲಿ ಅತ್ಯುತ್ತಮ ಫೋನ್,English,Kannada,E
good quality mobile but need some updates like camera,ಉತ್ತಮ ಗುಣಮಟ್ಟದ ಮೊಬೈಲ್ ಆದರೆ ಕ್ಯಾಮೆರಾದಂತಹ ಕೆಲವು ನವೀಕರಣಗಳ ಅಗತ್ಯವಿದೆ.,English,Kannada,E
"great performance , no doubt .","ಉತ್ತಮ ಪ್ರದರ್ಶನ, ನಿಸ್ಸಂದೇಹವಾಗಿದೆ .",English,Kannada,E
but only issue camera in low light .,ಮಾತ್ರ ಒಂದು ಸಮಸ್ಯೆ – ಕಡಿಮೆ ಬೆಳಕಿನಲ್ಲಿ ಕ್ಯಾಮೆರಾ ಕಾರ್ಯಕ್ಷಮತೆ ತಗ್ಗುತ್ತದೆ.,English,Kannada,E
here is my critical view of the device,ಸಾಧನದ ಬಗ್ಗೆ ನನ್ನ ವಿಮರ್ಶಾತ್ಮಕ ದೃಷ್ಟಿಕೋನ ಇಲ್ಲಿದೆ.,English,Kannada,E
"battery dropped from 89 % to 61 % in 16 hours , overall good battery but it will give you feel of 4000mah battery only .","16 ಗಂಟೆಗಳಲ್ಲಿ ಬ್ಯಾಟರಿ 89% ರಿಂದ 61% ಕ್ಕೆ ಇಳಿದಿದೆ, ಒಟ್ಟಾರೆಯಾಗಿ ಬ್ಯಾಟರಿ ಉತ್ತಮವಾಗಿದೆ ಆದರೆ ಇದು ನಿಮಗೆ 4000mah ಬ್ಯಾಟರಿಯ ಅನುಭವವನ್ನು ಮಾತ್ರ ನೀಡುತ್ತದೆ.",English,Kannada,E
superb handset can &apos;t say anything. just awesome . worth of money,ಅತ್ಯುತ್ತಮ ಹ್ಯಾಂಡ್‌ಸೆಟ್ ಏನನ್ನೂ ಹೇಳುವುದಿಲ್ಲ. ಕೇವಲ ಅದ್ಭುತ. ಹಣಕ್ಕೆ ತಕ್ಕ ಮೌಲ್ಯ.,English,Kannada,E
just go for it. flipkart will serve it. asus will care for it .,ಅದನ್ನೇ ಆರಿಸಿಕೊಳ್ಳಿ. ಫ್ಲಿಪ್‌ಕಾರ್ಟ್ ಅದನ್ನು ಸರ್ವ್ ಮಾಡುತ್ತದೆ. ಆಸಸ್ ಅದನ್ನು ನೋಡಿಕೊಳ್ಳುತ್ತದೆ.,English,Kannada,E
nice product and love the flipkart fast delivery,ಒಳ್ಳೆಯ ಉತ್ಪನ್ನ ಮತ್ತು ಫ್ಲಿಪ್‌ಕಾರ್ಟ್ ವೇಗದ ವಿತರಣೆ ಇಷ್ಟವಾಯಿತು.,English,Kannada,E
"the best camera phone , the best battery , best display , best processor , best ram , best speed , all in one best smartphone .","ಅತ್ಯುತ್ತಮ ಕ್ಯಾಮೆರಾ ಫೋನ್, ಅತ್ಯುತ್ತಮ ಬ್ಯಾಟರಿ, ಅತ್ಯುತ್ತಮ ಡಿಸ್ಪ್ಲೇ, ಅತ್ಯುತ್ತಮ ಪ್ರೊಸೆಸರ್, ಅತ್ಯುತ್ತಮ RAM, ಅತ್ಯುತ್ತಮ ವೇಗ, ಎಲ್ಲವೂ ಒಂದೇ ಸ್ಮಾರ್ಟ್‌ಫೋನ್‌ನಲ್ಲಿ.",English,Kannada,E
"it &apos;s really gud product. bt in camera n face unlock want to improve , i thinck asus work to improve it &apos;s , overview mobile is really awesome","ಇದು ನಿಜಕ್ಕೂ ಒಳ್ಳೆಯ ಉತ್ಪನ್ನ. ಕ್ಯಾಮೆರಾ ಮತ್ತು ಫೇಸ್ ಅನ್‌ಲಾಕ್‌ನಲ್ಲಿ ಬಿಟಿ ಸುಧಾರಿಸಲು ಬಯಸುತ್ತೇನೆ, ಆಸಸ್ ಅದನ್ನು ಸುಧಾರಿಸಲು ಕೆಲಸ ಮಾಡುತ್ತದೆ ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ , ಅವಲೋಕನ ಮೊಬೈಲ್ ನಿಜವಾಗಿಯೂ ಅದ್ಭುತವಾಗಿದೆ.",English,Kannada,E
best mobile in budget .,ಬಜೆಟ್ ನಲ್ಲಿ ಸಿಗುವ ಉತ್ತಮ ಮೊಬೈಲ್.,English,Kannada,E
don &apos;t go to other mobile .,ಬೇರೆ ಮೊಬೈಲ್‌ಗೆ ಹೋಗಬೇಡಿ.,English,Kannada,E
best budget phone for 15k .,15 ಸಾವಿರಕ್ಕೆ ಅತ್ಯುತ್ತಮ ಬಜೆಟ್ ಫೋನ್.,English,Kannada,E
performance is the highlight of this phone .,ಈ ಫೋನಿನ ಮುಖ್ಯಾಂಶವೆಂದರೆ ಅದರ ಕಾರ್ಯಕ್ಷಮತೆ.,English,Kannada,E
phone &apos;s battery lasts for 2 days on normal use with data / wifi all the time .,ಸಾರ್ವಕಾಲಿಕ ಡೇಟಾ / ವೈಫೈನೊಂದಿಗೆ ಸಾಮಾನ್ಯ ಬಳಕೆಯಲ್ಲಿ ಫೋನ್‌ನ ಬ್ಯಾಟರಿ 2 ದಿನಗಳವರೆಗೆ ಇರುತ್ತದೆ.,English,Kannada,E
gesture modes and face unlock are hit / miss .,ಗೆಸ್ಚರ್ ಮೋಡ್‌ಗಳು ಮತ್ತು ಫೇಸ್ ಅನ್‌ಲಾಕ್‌ಗಳು ಹಿಟ್ / ಮಿಸ್ ಆಗಿವೆ.,English,Kannada,E
only drawback is camera app in this phone is not good .,ಈ ಫೋನಿನಲ್ಲಿರುವ ಒಂದೇ ಒಂದು ನ್ಯೂನತೆಯೆಂದರೆ ಕ್ಯಾಮೆರಾ ಅಪ್ಲಿಕೇಶನ್ ಚೆನ್ನಾಗಿಲ್ಲ.,English,Kannada,E
asus should enable camera2 api for this phone over ota update .,OTA ಅಪ್‌ಡೇಟ್ ಮೂಲಕ asus ಈ ಫೋನ್‌ಗೆ camera2 api ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಬೇಕು.,English,Kannada,E
first of all i would like to say thanks to flipkart for the fastest delivery !,"ಮೊದಲನೆಯದಾಗಿ, ಫ್ಲಿಪ್‌ಕಾರ್ಟ್‌ಗೆ ವೇಗವಾಗಿ ತಲುಪಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದ ಹೇಳಲು ಬಯಸುತ್ತೇನೆ!",English,Kannada,E
at this price range this is one of the best mobile .,ಈ ಬೆಲೆ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಇದು ಅತ್ಯುತ್ತಮ ಮೊಬೈಲ್‌ಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ.,English,Kannada,E
there are many ways of unlocking the device !,ಸಾಧನವನ್ನು ಅನ್‌ಲಾಕ್ ಮಾಡಲು ಹಲವು ಮಾರ್ಗಗಳಿವೆ!,English,Kannada,E
camera and battery are excellent,ಕ್ಯಾಮೆರಾ ಮತ್ತು ಬ್ಯಾಟರಿ ಅತ್ಯುತ್ತಮವಾಗಿವೆ.,English,Kannada,E
if you are a gamer. especially if you are a pubg gamer this mobile totally fits in !,ನೀವು ಗೇಮರ್ ಆಗಿದ್ದರೆ. ವಿಶೇಷವಾಗಿ ನೀವು ಪಬ್‌ಜಿ ಗೇಮರ್ ಆಗಿದ್ದರೆ ಈ ಮೊಬೈಲ್ ಸಂಪೂರ್ಣವಾಗಿ ಹೊಂದಿಕೊಳ್ಳುತ್ತದೆ!,English,Kannada,E
"if you are about the buy the mobile and you are confused with the which color to buy. go for grey , cuz it looks premium","ನೀವು ಮೊಬೈಲ್ ಖರೀದಿಸುವ ಬಗ್ಗೆ ಯೋಚಿಸುತ್ತಿದ್ದರೆ ಮತ್ತು ಯಾವ ಬಣ್ಣವನ್ನು ಖರೀದಿಸಬೇಕೆಂದು ಗೊಂದಲಕ್ಕೊಳಗಾಗಿದ್ದರೆ, ಬೂದು ಬಣ್ಣವನ್ನು ಆರಿಸಿ, ಏಕೆಂದರೆ ಅದು ಪ್ರೀಮಿಯಂ ಆಗಿ ಕಾಣುತ್ತದೆ.",English,Kannada,E
"nice mobile , increase our dignity","ಒಳ್ಳೆಯ ಮೊಬೈಲ್, ನಮ್ಮ ಘನತೆಯನ್ನು ಹೆಚ್ಚಿಸಿ",English,Kannada,E
awesome phone but bugs hay,ಅದ್ಭುತ ಫೋನ್ ಆದರೆ ದೋಷಗಳು ಇವೆ .,English,Kannada,E
"the phone is an ultimate beast as said by asus , it decrowned xiaomi redmi note 5 pro and became a flagship .","ಆಸೂಸ್ ಹೇಳುವಂತೆ ಈ ಫೋನ್ ನಿಜಕ್ಕೂ ಅತ್ಯುತ್ತಮವಾದದ್ದು, ಶಿಯೋಮಿ ರೆಡ್‌ಮಿ ನೋಟ್ 5 ಪ್ರೊ ಅನ್ನು ನಿಜವಾದ ಫ್ಲ್ಯಾಗ್‌ಶಿಪ್ ಆಗಿ ಬಿಡುಗಡೆ ಮಾಡಿದೆ.",English,Kannada,E
the phone leads ahead in every aspect .,ಫೋನ್ ಎಲ್ಲಾ ವಿಷಯಗಳಲ್ಲಿಯೂ ಮುಂದಿದೆ.,English,Kannada,E
camera : the camera is too good as compared to 3 gb and 4gb,ಕ್ಯಾಮೆರಾ: 3 ಜಿಬಿ ಮತ್ತು 4 ಜಿಬಿಗೆ ಹೋಲಿಸಿದರೆ ಕ್ಯಾಮೆರಾ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.,English,Kannada,E
though rn5 pro leads in this segment a,ಆದರೂ ಈ ವಿಭಾಗದಲ್ಲಿ rn5 pro ಮುಂಚೂಣಿಯಲ್ಲಿದೆ a,English,Kannada,E
"little bit , but it is acceptable because asus gives","ಲ್ಪ ಮಟ್ಟಿಗೆ ಸ್ವೀಕಾರಾರ್ಹ, ಏಕೆಂದರೆ ಆಸಸ್  ನೀಡುತ್ತದೆ.",English,Kannada,E
things which are too good than rn5 pro .,rn5 pro ಗಿಂತ ತುಂಬಾ ಒಳ್ಳೆಯ ವಿಷಯಗಳು.,English,Kannada,E
best value for money smartphone under 15000 .,15000 ಕ್ಕಿಂತ ಕಡಿಮೆ ಬೆಲೆಗೆ ಉತ್ತಮ ಮೌಲ್ಯದ ಸ್ಮಾರ್ಟ್‌ಫೋನ್.,English,Kannada,E
"specially the display , battery and performance. and stock android experience is the bonus. it really doesn &apos;t feel that it has a 5000 mah battery .","ವಿಶೇಷವಾಗಿ ಡಿಸ್ಪ್ಲೇ, ಬ್ಯಾಟರಿ ಮತ್ತು ಕಾರ್ಯಕ್ಷಮತೆ. ಮತ್ತು ಸ್ಟಾಕ್ ಆಂಡ್ರಾಯ್ಡ್ ಅನುಭವವು ಬೋನಸ್ ಆಗಿದೆ. ಇದು ನಿಜವಾಗಿಯೂ 5000 mAh ಬ್ಯಾಟರಿಯನ್ನು ಹೊಂದಿದೆ ಎಂದು ಭಾವಿಸುವುದಿಲ್ಲ.",English,Kannada,E
front camera not good,ಮುಂಭಾಗದ ಕ್ಯಾಮೆರಾ ಚೆನ್ನಾಗಿಲ್ಲ.,English,Kannada,E
most affordable 6gb ram phone with stock android experience and 8.1 out of the box .,ಸ್ಟಾಕ್ ಆಂಡ್ರಾಯ್ಡ್ ಅನುಭವ ಮತ್ತು 8.1 ಆವೃತ್ತಿಯ ಅತ್ಯಂತ ಕೈಗೆಟುಕುವ 6gb RAM ಫೋನ್.,English,Kannada,E
asus just need to update its camera and give eis by fota .,ಆಸಸ್ ತನ್ನ ಕ್ಯಾಮರಾವನ್ನು ನವೀಕರಿಸಬೇಕಾಗಿದೆ ಮತ್ತು eis ಅನ್ನು fota ಮೂಲಕ ನೀಡಬೇಕಾಗಿದೆ.,English,Kannada,E
hope to see usb-type c next year in m2 .,ಮುಂದಿನ ವರ್ಷ m2 ನಲ್ಲಿ usb-ಟೈಪ್ c ನೋಡಲು ಆಶಿಸುತ್ತೇನೆ.,English,Kannada,E
"asus just nailed it with this version , the experience is as smooth as it gets , the 6gb ram shows it &apos;s strength , when there its multi window heavy games etc etc it &apos;s smooth experience tholrough out .","ಆಸಸ್ ಈ ಆವೃತ್ತಿಯೊಂದಿಗೆ ಇದೀಗ ತಾನೇ ಅದನ್ನು ಅದ್ಭುತವಾಗಿ ಮಾಡಿದೆ, ಅನುಭವವು ಅಷ್ಟೇ ಮೃದುವಾಗಿದೆ, 6gb RAM ಅದರ ಶಕ್ತಿಯನ್ನು ತೋರಿಸುತ್ತದೆ, ಮಲ್ಟಿ ವಿಂಡೋ ಹೆವಿ ಗೇಮ್‌ಗಳು ಇತ್ಯಾದಿ ಇದ್ದಾಗ ಅದು ಸುಗಮ ಅನುಭವವನ್ನು ನೀಡುತ್ತದೆ.",English,Kannada,E
a little detail version .,ಸ್ವಲ್ಪ ವಿವರವಾದ ಆವೃತ್ತಿ.,English,Kannada,E
1. camera : - okay not it &apos;s biggest selling point but they easily deliver and they tend to go for natural colors thus may not be pretty to eyes but are a real deal,"1. ಕ್ಯಾಮೆರಾ :-ಸರಿ, ಅದು ದೊಡ್ಡ ಮಾರಾಟದ ಅಂಶವಲ್ಲ ಆದರೆ ಅವು ಸುಲಭವಾಗಿ ತಲುಪಿಸುತ್ತವೆ ಮತ್ತು ಅವು ನೈಸರ್ಗಿಕ ಬಣ್ಣಗಳಿಗೆ ಆದ್ಯತೆ ನೀಡುತ್ತವೆ, ಆದ್ದರಿಂದ ಅವು ಕಣ್ಣಿಗೆ ಸುಂದರವಾಗಿಲ್ಲದಿರಬಹುದು ಆದರೆ ನಿಜವಾಗಿಯೂ ಒಳ್ಳೆಯದು.",English,Kannada,E
built : - it &apos;s built is quite sturdy and network reception is great,ನಿರ್ಮಾಣ :-ಇದು ಸಾಕಷ್ಟು ಗಟ್ಟಿಮುಟ್ಟಾಗಿದೆ ಮತ್ತು ನೆಟ್‌ವರ್ಕ್ ಸ್ವಾಗತವು ಉತ್ತಮವಾಗಿದೆ.,English,Kannada,E
"attractive , ram is enough , battery enough , speaker sound as well as , display size is very good , but , no amoled screen , no gorilla glass , network systems not strong , also hang problem is seen just like sumsang mobile .","ಆಕರ್ಷಕ, RAM ಸಾಕು, ಬ್ಯಾಟರಿ ಸಾಕು, ಸ್ಪೀಕರ್ ಸೌಂಡ್ ಕೂಡ ಚೆನ್ನಾಗಿದೆ, ಡಿಸ್ಪ್ಲೇ ಗಾತ್ರ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ, ಆದರೆ, ಅಮೋಲೆಡ್ ಸ್ಕ್ರೀನ್ ಇಲ್ಲ, ಗೊರಿಲ್ಲಾ ಗ್ಲಾಸ್ ಇಲ್ಲ, ನೆಟ್‌ವರ್ಕ್ ಸಿಸ್ಟಮ್‌ಗಳು ಬಲವಾಗಿಲ್ಲ, ಹ್ಯಾಂಗ್ ಸಮಸ್ಯೆಯೂ ಸಹ ಸಮ್‌ಸಾಂಗ್ ಮೊಬೈಲ್‌ನಂತೆಯೇ ಕಂಡುಬರುತ್ತದೆ.",English,Kannada,E
nice product for 15000 thousand the delivery of product is fast i have got it in two days i satisfied from that product,"15000 ಸಾವಿರಕ್ಕೆ ಒಳ್ಳೆಯ ಉತ್ಪನ್ನ, ಉತ್ಪನ್ನದ ವಿತರಣೆ ವೇಗವಾಗಿದೆ, ನಾನು ಅದನ್ನು ಎರಡು ದಿನಗಳಲ್ಲಿ ಪಡೆದುಕೊಂಡಿದ್ದೇನೆ, ಆ ಉತ್ಪನ್ನದಿಂದ ನನಗೆ ತೃಪ್ತಿ ಇದೆ.",English,Kannada,E
ovar all phone is good but internet speed problem in the phone,ಎಲ್ಲಾ ಫೋನ್‌ಗಳು ಚೆನ್ನಾಗಿವೆ ಆದರೆ ಫೋನ್‌ನಲ್ಲಿ ಇಂಟರ್ನೆಟ್ ವೇಗದ ಸಮಸ್ಯೆ ಇದೆ.,English,Kannada,E
"really awesome product gonna be tough competitive phone for redmi 5 pro camera , display , battery , speed etc . , all r very nice worth and cheap for this product .","ರೆಡ್ಮಿ 5 ಪ್ರೊ ಕ್ಯಾಮೆರಾ, ಡಿಸ್ಪ್ಲೇ, ಬ್ಯಾಟರಿ, ವೇಗ ಇತ್ಯಾದಿಗಳಿಗೆ ಇದು ನಿಜವಾಗಿಯೂ ಅದ್ಭುತವಾದ ಉತ್ಪನ್ನವಾಗಿದ್ದು, ಇದು ಕಠಿಣ ಸ್ಪರ್ಧಾತ್ಮಕ ಫೋನ್ ಆಗಿರುತ್ತದೆ. ಎಲ್ಲವೂ ಈ ಉತ್ಪನ್ನಕ್ಕೆ ತುಂಬಾ ಉತ್ತಮ ಮೌಲ್ಯ ಮತ್ತು ಅಗ್ಗವಾಗಿದೆ.",English,Kannada,E
"phone is not ringing during incoming call , can someone from asus please help on this","ಒಳಬರುವ ಕರೆ ಸಮಯದಲ್ಲಿ ಫೋನ್ ರಿಂಗ್ ಆಗುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಆಸುಸ್‌ನಿಂದ ಯಾರಾದರೂ ಈ ಕುರಿತು ಸಹಾಯ ಮಾಡಬಹುದೇ?",English,Kannada,E
loving it asus. thank you .,ಆಸಸ್ ಅದು ತುಂಬಾ ಇಷ್ಟ . ಧನ್ಯವಾದಗಳು.,English,Kannada,E
nice ph at this price segment .,ಈ ಬೆಲೆ ವಿಭಾಗದಲ್ಲಿ ಉತ್ತಮ ph .,English,Kannada,E
camera like oppo vivo . u can click a pic without makeup,oppo vivo ನಂತಹ ಕ್ಯಾಮೆರಾ. ನೀವು ಮೇಕ್ಅಪ್ ಇಲ್ಲದೆ ಚಿತ್ರವನ್ನು ಕ್ಲಿಕ್ ಮಾಡಬಹುದು.,English,Kannada,E
best budget smartphone of 2018 in rs .,ರೂ.ಗಳಲ್ಲಿ 2018 ರ ಅತ್ಯುತ್ತಮ ಬಜೆಟ್ ಸ್ಮಾರ್ಟ್‌ಫೋನ್‌ಗಳು.,English,Kannada,E
"with wonderful performance , camera , battery life and screen .","ಅದ್ಭುತ ಕಾರ್ಯಕ್ಷಮತೆ, ಕ್ಯಾಮೆರಾ, ಬ್ಯಾಟರಿ ಬಾಳಿಕೆ ಮತ್ತು ಪರದೆಯೊಂದಿಗೆ.",English,Kannada,E
it &apos;s more than value for money .,ಇದು ಹಣಕ್ಕೆ ತಕ್ಕ ಮೌಲ್ಯಕ್ಕಿಂತ ಹೆಚ್ಚು.,English,Kannada,E
battery is best in this range,ಈ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬ್ಯಾಟರಿ ಉತ್ತಮವಾಗಿದೆ.,English,Kannada,E
camera is best in this range,ಈ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಕ್ಯಾಮೆರಾ ಉತ್ತಮವಾಗಿದೆ.,English,Kannada,E
processor snapdragon 636 is tremendous,ಸ್ನಾಪ್‌ಡ್ರಾಗನ್ 636 ಪ್ರೊಸೆಸರ್ ಅದ್ಭುತವಾಗಿದೆ.,English,Kannada,E
the best thing is stock like android interface,ಅತ್ಯುತ್ತಮ ವಿಷಯವೆಂದರೆ ಸ್ಟಾಕ್ ತರಹದ ಆಂಡ್ರಾಯ್ಡ್ ಇಂಟರ್ಫೇಸ್.,English,Kannada,E
worth for money 6gb and dedication memory card slot,ಹಣಕ್ಕೆ ತಕ್ಕ ಬೆಲೆ 6GB ಮತ್ತು ಮೀಸಲಾದ ಮೆಮೊರಿ ಕಾರ್ಡ್ ಸ್ಲಾಟ್,English,Kannada,E
"great device , best under 15k .","ಉತ್ತಮ ಸಾಧನ, 15 ಸಾವಿರಕ್ಕಿಂತ ಕಡಿಮೆ ಬೆಲೆಗೆ.",English,Kannada,E
screen quality is best of best it has ips display but the colours are vibrant .,"ಪರದೆಯ ಗುಣಮಟ್ಟ ಅತ್ಯುತ್ತಮವಾಗಿದೆ, ಇದು ಐಪಿಎಸ್ ಡಿಸ್ಪ್ಲೇ ಹೊಂದಿದೆ ಆದರೆ ಬಣ್ಣಗಳು ರೋಮಾಂಚಕವಾಗಿವೆ.",English,Kannada,E
it has very good quality of ips display like lg phone not cheap quality ips display on xiaomi &apos;s all phone .,"ಇದು LG ಫೋನ್‌ನಂತೆ ಅತ್ಯುತ್ತಮ ಗುಣಮಟ್ಟದ IPS ಡಿಸ್ಪ್ಲೇ ಹೊಂದಿದೆ, Xiaomi ಫೋನ್‌ಗಳಲ್ಲಿ ಕಾಣಸಿಗುವ ಕಡಿಮೆ ಗುಣಮಟ್ಟದ IPS ಡಿಸ್ಪ್ಲೇ ಅಲ್ಲ.",English,Kannada,E
"camera is good , battery is long lasting , it has notification led , sounds quality is good , ram and proccessor is fast .","ಕ್ಯಾಮೆರಾ ಚೆನ್ನಾಗಿದೆ, ಬ್ಯಾಟರಿ ದೀರ್ಘಕಾಲ ಬಾಳಿಕೆ ಬರುತ್ತದೆ, ನೋಟಿಫಿಕೇಶನ್ ಲೀಡ್ ಇದೆ, ಧ್ವನಿ ಗುಣಮಟ್ಟ ಚೆನ್ನಾಗಿದೆ, RAM ಮತ್ತು ಪ್ರೊಸೆಸರ್ ವೇಗವಾಗಿದೆ.",English,Kannada,E
i love this phone and i guarantee you will never regret after buying this phone,ನನಗೆ ಈ ಫೋನ್ ತುಂಬಾ ಇಷ್ಟ ಮತ್ತು ಈ ಫೋನ್ ಖರೀದಿಸಿದ ನಂತರ ನೀವು ಎಂದಿಗೂ ವಿಷಾದಿಸುವುದಿಲ್ಲ ಎಂದು ನಾನು ಖಾತರಿಪಡಿಸುತ್ತೇನೆ.,English,Kannada,E
superb phone. value for money,ಅತ್ಯುತ್ತಮ ಫೋನ್. ಹಣಕ್ಕೆ ತಕ್ಕ ಮೌಲ್ಯ.,English,Kannada,E
nice phone under 15k,15 ಸಾವಿರಕ್ಕಿಂತ ಕಡಿಮೆ ಬೆಲೆಗೆ ಸಿಗುವ ಒಳ್ಳೆಯ ಫೋನ್,English,Kannada,E
